x,acc_reward
543,149.33333333333334
544,135.33333333333334
545,126.0
546,140.0
547,158.66666666666666
548,154.0
549,130.66666666666666
550,140.0
551,154.0
552,144.66666666666666
553,154.0
554,154.0
555,154.0
556,134.4
557,133.0
558,121.33333333333333
559,126.0
560,112.0
561,126.0
562,126.0
563,119.0
564,161.0
565,126.0
566,135.33333333333334
567,154.0
568,154.0
569,154.0
570,135.33333333333334
571,135.33333333333334
572,154.0
573,154.0
574,149.33333333333334
575,154.0
576,154.0
577,154.0
578,154.0
579,126.0
580,126.0
581,126.0
582,154.0
583,154.0
584,154.0
585,140.0
586,154.0
587,163.33333333333334
588,129.5
589,182.0
590,177.33333333333334
591,163.33333333333334
592,182.0
593,177.33333333333334
594,158.66666666666666
595,182.0
596,154.0
597,144.66666666666666
598,122.5
599,135.33333333333334
600,122.5
601,122.5
602,154.0
603,135.33333333333334
604,163.33333333333334
605,171.5
606,168.0
607,172.66666666666666
608,196.0
609,140.0
610,196.0
611,191.33333333333334
612,161.0
613,177.33333333333334
614,154.0
615,158.66666666666666
616,182.0
617,182.0
618,163.33333333333334
619,161.0
620,182.0
621,154.0
622,149.33333333333334
623,182.0
624,182.0
625,182.0
626,182.0
627,182.0
628,163.33333333333334
629,148.4
630,126.0
631,130.66666666666666
632,126.0
633,126.0
634,126.0
635,140.0
636,126.0
637,147.0
638,140.0
639,135.33333333333334
640,154.0
641,182.0
642,182.0
643,182.0
644,182.0
645,144.66666666666666
646,168.0
647,149.33333333333334
648,182.0
649,182.0
650,140.0
651,182.0
652,163.33333333333334
653,154.0
654,154.0
655,154.0
656,154.0
657,154.0
658,126.0
659,126.0
660,154.0
661,182.0
662,182.0
663,168.0
664,182.0
665,182.0
666,168.0
667,149.33333333333334
668,158.66666666666666
669,182.0
670,182.0
671,149.33333333333334
672,164.5
673,182.0
674,182.0
675,182.0
676,182.0
677,182.0
678,182.0
679,182.0
680,182.0
681,182.0
682,168.0
683,182.0
684,158.66666666666666
685,112.0
686,116.66666666666667
687,135.33333333333334
688,182.0
689,182.0
690,182.0
691,182.0
692,161.0
693,182.0
694,182.0
695,182.0
696,172.66666666666666
697,182.0
698,163.33333333333334
699,154.0
700,119.0
701,126.0
702,126.0
703,126.0
704,121.33333333333333
705,154.0
706,182.0
707,126.0
708,154.0
709,168.0
710,117.6
711,126.0
712,136.5
713,116.66666666666667
714,103.6
715,126.0
716,144.66666666666666
717,112.0
718,119.0
719,154.0
720,182.0
721,177.33333333333334
722,182.0
723,191.33333333333334
724,210.0
725,168.0
726,135.33333333333334
727,182.0
728,168.0
729,182.0
730,175.0
731,135.33333333333334
732,122.5
733,121.33333333333333
734,126.0
735,102.66666666666667
736,102.66666666666667
737,108.5
738,105.0
739,109.66666666666667
740,102.0
741,111.0
742,182.0
743,172.66666666666666
744,154.0
745,161.0
746,140.0
747,182.0
748,182.0
749,182.0
750,182.0
751,172.66666666666666
752,172.66666666666666
753,114.8
754,126.0
755,116.66666666666667
756,126.0
757,122.5
758,112.0
759,168.0
760,172.66666666666666
761,177.33333333333334
762,168.0
763,210.0
764,210.0
765,172.66666666666666
766,182.0
767,158.66666666666666
768,168.0
769,182.0
770,140.0
771,182.0
772,182.0
773,157.5
774,123.2
775,107.8
776,116.66666666666667
777,103.0
778,105.63636363636364
779,112.0
780,104.46153846153847
781,100.8
782,98.0
783,121.33333333333333
784,150.5
785,182.0
786,182.0
787,175.0
788,182.0
789,168.0
790,182.0
791,135.33333333333334
792,117.25
793,98.0
794,130.66666666666666
795,186.66666666666666
796,189.0
797,182.0
798,196.0
799,196.0
800,186.66666666666666
801,182.0
802,182.0
803,172.66666666666666
804,163.33333333333334
805,154.0
806,154.0
807,126.0
808,129.5
809,154.0
810,154.0
811,140.0
812,156.8
813,196.0
814,186.66666666666666
815,210.0
816,186.66666666666666
817,200.66666666666666
818,178.5
819,210.0
820,210.0
821,210.0
822,168.0
823,172.66666666666666
824,158.66666666666666
825,210.0
826,210.0
827,189.0
828,182.0
829,210.0
830,178.5
831,210.0
832,210.0
833,210.0
834,210.0
835,177.33333333333334
836,210.0
837,210.0
838,200.66666666666666
839,210.0
840,210.0
841,210.0
842,200.66666666666666
843,196.0
844,122.5
845,163.33333333333334
846,143.5
847,144.66666666666666
848,154.0
849,154.0
850,140.0
851,163.33333333333334
852,182.0
853,126.0
854,182.0
855,182.0
856,171.5
857,168.0
858,154.0
859,182.0
860,163.33333333333334
861,172.66666666666666
862,154.0
863,133.0
864,130.30769230769232
