x,acc_reward
224,136.0
225,170.66666666666666
226,136.0
227,144.0
228,148.0
229,136.0
230,136.0
231,128.0
232,136.0
233,160.0
234,140.0
235,170.66666666666666
236,170.66666666666666
237,136.0
238,176.0
239,136.0
240,128.0
241,144.0
242,154.66666666666666
243,160.0
244,136.0
245,136.0
246,136.0
247,136.0
248,136.0
249,136.0
250,136.0
251,124.0
252,154.66666666666666
253,136.0
254,144.0
255,154.66666666666666
256,144.0
257,149.33333333333334
258,136.0
259,136.0
260,160.0
261,136.0
262,136.0
263,165.33333333333334
264,136.0
265,144.0
266,136.0
267,136.0
268,120.0
269,138.66666666666666
270,117.92592592592592
271,168.0
272,136.0
273,165.33333333333334
274,134.85714285714286
275,148.0
276,140.0
277,140.8
278,136.0
279,164.0
280,136.0
281,129.88235294117646
282,124.0
283,136.0
284,136.0
285,136.0
286,140.0
287,137.6
288,136.0
289,136.0
290,149.33333333333334
291,130.66666666666666
292,136.0
293,136.0
294,136.0
295,124.8
296,144.0
297,136.0
298,136.0
299,132.0
300,136.0
301,150.4
302,138.66666666666666
303,136.0
304,136.0
305,136.0
306,136.0
307,154.66666666666666
308,133.33333333333334
309,138.66666666666666
310,136.0
311,165.33333333333334
312,134.4
313,136.72727272727272
314,128.0
315,140.8
316,149.33333333333334
317,136.0
318,132.0
319,136.0
320,136.0
321,136.0
322,156.0
323,148.0
324,136.0
325,136.0
326,144.0
327,160.0
328,136.0
329,176.0
330,136.0
331,136.0
332,124.0
333,130.28571428571428
334,136.0
335,136.0
336,128.0
337,136.0
338,176.0
339,136.0
340,136.0
341,112.0
342,136.0
343,144.0
344,136.0
345,136.0
346,136.0
347,156.0
348,144.0
349,176.0
350,136.0
351,136.0
352,132.0
353,136.0
354,136.0
355,136.0
356,136.0
357,136.0
358,136.0
359,136.0
360,122.66666666666669
361,186.66666666666663
362,136.0
363,137.6
364,160.0
365,136.0
366,136.0
367,132.0
368,136.0
369,144.0
370,152.0
371,144.0
372,154.66666666666666
373,136.0
374,136.0
375,154.66666666666666
376,128.0
377,132.0
378,136.0
379,122.66666666666669
380,160.0
381,154.66666666666666
382,136.0
383,132.0
384,150.4
385,136.0
386,136.0
387,156.0
388,133.33333333333334
389,172.0
390,136.0
391,143.23809523809524
392,138.66666666666666
393,136.0
394,152.0
395,120.0
396,136.0
397,132.0
398,149.33333333333334
399,136.0
400,170.0
401,170.0
402,170.0
403,170.0
404,146.0
405,150.0
406,170.0
407,106.0
408,148.66666666666663
409,138.0
410,138.0
411,116.66666666666663
412,170.0
413,138.0
414,170.0
415,170.0
416,138.0
417,170.0
418,170.0
419,170.0
420,159.33333333333331
421,143.33333333333331
422,138.0
423,106.0
